strategy,node,latency
Random,Edge,461.9686197072559
Random,Cloud,119.02568310388212
Random,Edge,132.08903581624926
Random,Cloud,114.45021366961785
Random,Edge,97.13269040528704
Random,Cloud,112.87102040019124
Random,Cloud,110.5144555405975
Random,Cloud,166.55789888857015
Random,Cloud,93.87713280522613
Random,Edge,387.8586906505284
Random,Edge,286.6855647653227
Random,Edge,165.74638333578352
Random,Edge,219.51341463999393
Random,Cloud,151.26076398657437
Random,Cloud,130.98902323076499
Random,Cloud,132.34808560797296
Random,Cloud,70.27611070777796
Random,Edge,417.3068471339697
Random,Edge,322.31428146647903
Random,Cloud,93.61172922126025
Random,Cloud,71.22946176255908
Random,Cloud,115.15678092841873
Random,Edge,64.41682315694108
Random,Cloud,71.80111128493122
Random,Edge,339.2215787380523
Random,Cloud,80.88927347977116
Random,Edge,97.08073963821288
Random,Cloud,131.1069127816275
Random,Cloud,193.00222720059662
Random,Cloud,102.05843566611081
Random,Cloud,128.153479064903
Random,Edge,194.13492751535418
Random,Cloud,122.23234208613621
Random,Cloud,187.28383011000273
Random,Edge,197.1585255550991
Random,Cloud,157.72687093930296
Random,Cloud,136.49058556361217
Random,Cloud,93.34240384272556
Random,Edge,305.3049185228138
Random,Edge,489.27044674916914
Random,Cloud,181.80034283359248
Random,Edge,114.79605035589584
Random,Edge,278.602182415449
Random,Cloud,83.39095108981519
Random,Edge,512.3117103727103
Random,Cloud,82.38790447744432
Random,Cloud,110.5737414173207
Random,Edge,296.60991839700955
Random,Edge,376.97787016251544
Random,Edge,172.70144744281515
Random,Edge,305.7501811187202
Random,Edge,391.72047148804717
Random,Edge,234.97828819346
Random,Edge,498.5628767566527
Random,Edge,92.1213758004571
Random,Edge,180.74636666563575
Random,Cloud,86.25935583457014
Random,Edge,197.0286437754749
Random,Cloud,87.45457595235997
Random,Edge,255.8751905115916
Random,Cloud,103.11597455313697
Random,Cloud,128.25576029617838
Random,Edge,169.09129706077914
Random,Cloud,79.58637859224184
Random,Cloud,128.46933671433345
Random,Cloud,89.50421853712542
Random,Cloud,98.9768221403816
Random,Edge,380.5178516007323
Random,Edge,179.4633428694704
Random,Cloud,181.47585892656247
Random,Edge,425.56025489326885
Random,Cloud,86.08347151782583
Random,Cloud,142.8277252886504
Random,Edge,170.0169546651028
Random,Edge,363.3651177427749
Random,Edge,421.707101482916
Random,Edge,471.1667945900488
Random,Cloud,172.46350962264464
Random,Cloud,186.01428161476414
Random,Edge,465.95517581709345
Random,Edge,299.53872101168
Random,Cloud,174.4320791039526
Random,Edge,420.67411436761995
Random,Edge,494.2381609631996
Random,Cloud,91.33091500615768
Random,Edge,285.43314200542284
Random,Cloud,163.46158496322863
Random,Edge,494.11200546422276
Random,Edge,88.31712961675441
Random,Edge,286.48765871605485
Random,Cloud,142.26761532422768
Random,Cloud,124.48564476089402
Random,Edge,284.46487100966937
Random,Edge,170.27008165696503
Random,Cloud,69.6783071883315
Random,Cloud,128.75012300919747
Random,Edge,382.1964739875918
Random,Edge,407.63751034979646
Random,Cloud,170.8082081290417
Random,Cloud,136.53688649250063
Rule,Edge,242.7126630123607
Rule,Edge,437.69835250779306
Rule,Cloud,132.1000338242962
Rule,Cloud,154.27278567315642
Rule,Edge,255.19963945739457
Rule,Edge,56.95218930340987
Rule,Edge,332.7674155632821
Rule,Edge,77.43920103332167
Rule,Edge,338.69852224405884
Rule,Edge,449.4584935050124
Rule,Cloud,146.57360045222615
Rule,Edge,81.27472001833144
Rule,Edge,451.3338320100913
Rule,Edge,202.95299884751856
Rule,Edge,104.20825256150832
Rule,Edge,143.58242898639836
Rule,Edge,401.41879502649465
Rule,Edge,333.1925486812149
Rule,Edge,438.19658786237545
Rule,Edge,158.5466245339629
Rule,Edge,508.80429465761733
Rule,Edge,88.50332818856974
Rule,Edge,165.57427862210284
Rule,Edge,476.34491280465437
Rule,Edge,370.0757173090868
Rule,Edge,228.22736251245948
Rule,Cloud,162.95109500719659
Rule,Edge,114.88619725064369
Rule,Cloud,118.35731510840871
Rule,Edge,296.26256984758425
Rule,Edge,514.8920974443167
Rule,Edge,460.142498332681
Rule,Edge,252.03666426225107
Rule,Edge,519.5325056994441
Rule,Edge,390.74142825538496
Rule,Edge,452.6512398701568
Rule,Edge,143.00179028934073
Rule,Edge,215.28264717161633
Rule,Edge,253.82866968221853
Rule,Edge,518.2026558485102
Rule,Cloud,121.83844504532738
Rule,Edge,283.3719708161847
Rule,Edge,142.74553788167674
Rule,Edge,171.83187600759754
Rule,Edge,309.88351385277923
Rule,Edge,511.985202084695
Rule,Edge,240.83504058008592
Rule,Edge,383.4937546607381
Rule,Cloud,142.02305430060846
Rule,Cloud,167.80126816976042
Rule,Cloud,176.29464839076505
Rule,Edge,169.7821786963666
Rule,Edge,87.84557784940458
Rule,Cloud,145.34355158673353
Rule,Edge,106.1176649869181
Rule,Edge,88.55242397445976
Rule,Cloud,181.39455259287203
Rule,Cloud,153.67307680835262
Rule,Edge,473.298899148612
Rule,Edge,87.86236782003068
Rule,Edge,134.79493735221496
Rule,Edge,365.1376590234798
Rule,Edge,101.48763859405386
Rule,Cloud,143.59883982812863
