task_id,node,latency_ms
0,EdgeNode,285.29
1,CloudNode,34.57
2,EdgeNode,185.22
3,EdgeNode,385.25
4,EdgeNode,459.23
5,CloudNode,123.89
6,CloudNode,58.4
7,EdgeNode,443.82
8,CloudNode,76.34
9,CloudNode,70.5
10,CloudNode,52.02
11,CloudNode,74.56
12,CloudNode,61.99
13,CloudNode,115.99
14,EdgeNode,494.65
15,CloudNode,96.39
16,EdgeNode,144.64
17,CloudNode,133.56
18,EdgeNode,244.2
19,EdgeNode,408.23
20,EdgeNode,491.3
21,EdgeNode,93.24
22,EdgeNode,208.55
23,CloudNode,61.74
24,EdgeNode,419.44
25,CloudNode,65.62
26,EdgeNode,209.52
27,CloudNode,57.21
28,CloudNode,87.18
29,EdgeNode,394.59
30,EdgeNode,79.91
31,CloudNode,84.27
32,EdgeNode,348.91
33,EdgeNode,385.37
34,CloudNode,145.5
35,EdgeNode,402.07
36,EdgeNode,361.1
37,CloudNode,52.31
38,EdgeNode,343.41
39,EdgeNode,473.31
40,CloudNode,58.25
41,CloudNode,42.2
42,EdgeNode,229.48
43,EdgeNode,406.03
44,CloudNode,118.6
45,EdgeNode,398.54
46,EdgeNode,207.29
47,EdgeNode,55.92
48,EdgeNode,76.2
49,EdgeNode,481.18
50,CloudNode,46.09
51,EdgeNode,376.03
52,EdgeNode,418.59
53,CloudNode,114.01
54,EdgeNode,271.31
55,EdgeNode,99.37
56,EdgeNode,247.16
57,EdgeNode,394.46
58,CloudNode,92.58
59,CloudNode,124.33
60,EdgeNode,485.77
61,EdgeNode,394.13
62,CloudNode,142.8
63,EdgeNode,456.57
64,CloudNode,123.3
65,CloudNode,88.66
66,CloudNode,136.15
67,EdgeNode,370.83
68,EdgeNode,250.12
69,CloudNode,56.56
70,CloudNode,134.25
71,EdgeNode,259.31
72,EdgeNode,409.17
73,EdgeNode,216.8
74,EdgeNode,186.84
75,EdgeNode,455.57
76,CloudNode,59.04
77,CloudNode,143.37
78,CloudNode,75.27
79,EdgeNode,259.61
80,CloudNode,85.42
81,EdgeNode,386.45
82,CloudNode,148.7
83,EdgeNode,187.97
84,EdgeNode,306.99
85,CloudNode,99.48
86,EdgeNode,345.06
87,CloudNode,115.55
88,EdgeNode,279.1
89,CloudNode,101.32
90,CloudNode,111.51
91,EdgeNode,451.02
92,EdgeNode,238.69
93,CloudNode,73.52
94,CloudNode,51.08
95,CloudNode,70.47
96,CloudNode,33.86
97,CloudNode,62.67
98,EdgeNode,377.97
99,EdgeNode,176.31
