task_id,node,latency_ms
0,CloudNode,100.29
1,EdgeNode,129.46
2,EdgeNode,313.35
3,EdgeNode,498.37
4,CloudNode,70.46
5,EdgeNode,76.0
6,EdgeNode,443.01
7,EdgeNode,282.01
8,CloudNode,137.59
9,EdgeNode,103.68
10,CloudNode,95.64
11,CloudNode,43.14
12,CloudNode,115.64
13,CloudNode,88.92
14,CloudNode,77.89
15,EdgeNode,347.59
16,EdgeNode,439.59
17,EdgeNode,417.88
18,EdgeNode,76.1
19,CloudNode,133.89
20,CloudNode,51.38
21,CloudNode,46.13
22,EdgeNode,374.64
23,CloudNode,58.02
24,EdgeNode,484.17
25,EdgeNode,286.09
26,EdgeNode,225.48
27,EdgeNode,315.98
28,EdgeNode,313.47
29,EdgeNode,246.67
30,EdgeNode,331.91
31,CloudNode,142.16
32,EdgeNode,250.81
33,CloudNode,53.64
34,EdgeNode,58.38
35,EdgeNode,432.58
36,EdgeNode,348.05
37,CloudNode,57.32
38,EdgeNode,396.2
39,CloudNode,65.25
40,CloudNode,54.61
41,CloudNode,67.5
42,CloudNode,105.59
43,EdgeNode,376.96
44,EdgeNode,75.09
45,EdgeNode,432.75
46,CloudNode,108.97
47,EdgeNode,113.2
48,EdgeNode,329.8
49,EdgeNode,168.79
