strategy,app_type,size_mb,priority,node,latency,energy
Random,VANET,2.193,medium,edge_0,1978.3431533941166,19.78343153394117
Random,VANET,4.279,medium,edge_0,3877.613318569886,38.77613318569886
Random,IoT,0.64,low,cloud_1,379.7947007036824,18.98973503518412
Random,IoT,1.139,low,edge_0,1046.0270337984182,10.46027033798418
Random,ARVR,8.011,high,cloud_1,4258.512053039133,212.9256026519567
Random,VANET,5.153,medium,edge_0,4724.003148661825,47.24003148661826
Random,IoT,2.765,medium,cloud_1,1534.5186231158957,76.72593115579478
Random,IoT,0.947,high,cloud_1,567.0270236268725,28.351351181343627
Random,IoT,1.733,medium,edge_0,1612.4665556594416,16.124665556594415
Random,ARVR,7.989,medium,cloud_1,4445.593873437563,222.27969367187814
Random,VANET,3.197,high,cloud_1,1868.6158408583276,93.43079204291638
Random,VANET,2.167,low,edge_0,2025.899098290747,20.25899098290747
Random,ARVR,8.868,low,cloud_1,5170.335770593498,258.5167885296749
Random,IoT,2.627,medium,edge_0,2465.4769991185585,24.65476999118558
Random,VANET,2.358,medium,cloud_1,1469.8012578325563,73.49006289162782
Random,VANET,4.728,high,edge_0,4463.017988765916,44.63017988765916
Random,ARVR,11.282,low,cloud_1,6908.741769540607,345.43708847703033
Random,VANET,5.778,medium,edge_0,5523.146791071436,55.231467910714365
Random,VANET,5.897,low,cloud_1,3849.2568753199557,192.46284376599777
Random,VANET,7.545,high,cloud_1,5061.644535178673,253.08222675893367
Random,ARVR,11.085,medium,edge_0,10759.72863803282,107.5972863803282
Random,IoT,0.829,low,cloud_1,619.9365535036765,30.996827675183823
Random,IoT,2.129,low,edge_0,2144.3683198243,21.443683198243004
Random,VANET,7.377,medium,edge_0,7456.683320402735,74.56683320402735
Random,IoT,2.878,high,cloud_1,2050.124830265764,102.5062415132882
Random,VANET,3.449,medium,cloud_1,2484.5291323363695,124.22645661681848
Random,VANET,3.6,medium,edge_0,3734.648601109342,37.346486011093425
Random,IoT,1.533,low,edge_0,1616.1859037280535,16.161859037280536
Random,VANET,5.507,high,cloud_1,4035.611862359911,201.78059311799555
Random,VANET,5.417,medium,cloud_1,4118.2157639435445,205.9107881971772
Random,IoT,0.969,low,edge_0,1031.406346552913,10.31406346552913
Random,VANET,4.28,low,edge_0,4537.818330980578,45.37818330980578
Random,ARVR,8.519,medium,cloud_1,6676.210701657749,333.81053508288744
Random,IoT,2.764,low,edge_0,2981.499317249426,29.814993172494262
Random,IoT,2.745,low,edge_0,2992.2556301785967,29.922556301785967
Random,ARVR,9.297,high,edge_0,10225.14025148921,102.2514025148921
Random,ARVR,5.375,medium,cloud_1,4484.922333030024,224.2461166515012
Random,ARVR,11.225,high,edge_0,12841.314720812705,128.41314720812704
Random,IoT,2.984,low,edge_0,3614.687034055248,36.14687034055248
Random,IoT,0.789,medium,cloud_1,728.1650093988007,36.40825046994004
Random,ARVR,6.014,medium,cloud_1,5265.562754711803,263.2781377355901
Random,IoT,2.26,low,cloud_1,2107.4207914748717,105.37103957374359
Random,ARVR,8.448,high,cloud_1,7863.565329002169,393.1782664501084
Random,IoT,2.523,low,edge_0,3106.5134135727876,31.065134135727877
Random,VANET,5.217,medium,edge_0,6498.954898163896,64.98954898163896
Random,ARVR,11.022,medium,edge_0,14129.728139933839,141.29728139933837
Random,IoT,1.623,high,cloud_1,1542.674124086641,77.13370620433206
Random,VANET,2.608,medium,edge_0,3405.5086584801534,34.05508658480153
